id;code;name;manager;start_date;end_date;language;status
1;contextually-based Alaska Fresh;Table Micronesia;Center;2024-09-12;2024-09-12;functionalities extensible;CLOSED
2;Regional;technologies Soft Senior;Assistant Bike;2024-09-13;2024-09-13;invoice optical;CANCELED
3;Alley Practical;solution;Supervisor index Diverse;2024-09-12;2024-09-12;neural;NOT_STARTED
4;Corners Buckinghamshire Keyboard;Oklahoma;Tennessee Direct Radial;2024-09-13;2024-09-13;Optional firewall ADP;CLOSED
5;South Interactions back-end;violet;indigo pink;2024-09-12;2024-09-12;input;CANCELED
6;Small;invoice digital parsing;Berkshire Vision-oriented empowering;2024-09-12;2024-09-13;payment;CANCELED
7;Villages world-class;indexing Bedfordshire;Cambridgeshire Plastic green;2024-09-12;2024-09-13;Metal matrix back-end;CANCELED
8;Wooden;Ergonomic Practical Corporate;Passage blue hub;2024-09-12;2024-09-12;networks Wisconsin hack;CANCELED
9;mission-critical connect JBOD;exploit;Arabia withdrawal;2024-09-13;2024-09-13;definition;NOT_STARTED
10;Buckinghamshire;Handmade bypassing;Borders;2024-09-13;2024-09-13;Handcrafted leading-edge Light;CANCELED
